unit,level,parent,unit_id,parent_id,lithology,age
BLÆREROT FM,FORMATION,BILLEFJORDEN GP,14,11.0,"The lowermost five metres of the Blærerot Formation consist of intensely bioturbated grey to yellowish brown limestone and sandy dolomites in core 7029/03-U-01. Bugge et al. (1995) described these as partially dolomitised mudstones and wackestones containing gastropods, brachiopods, bivalves, trilobites, foraminifers and crinoids. Large, laminated irregular nodules, interpreted as oncoids, are present in the lower part. The carbonates are overlain by a 23 m thick coarsening-upward succession of dark grey silty shale with a total organic carbon (TOC) content of 3-4% in the lower part. The shale becomes more bioturbated and less organic-rich upwards. It contains much of the same marine fossils as in the underlying carbonate unit, but in addition abundant terrestrial plant remains are present. There is sharp transition towards the overlying 22 m thick sandstone dominated unit, which consists of two coarsening-upwards cycles with basal dark grey siltstones. The sandstones are fine- to medium-grained and contain low-angle trough cross lamination and wave ripples (Fig 9.17). Yellowish-brown silty shales with some coal abruptly overlie the apparently shallow marine succession of the lower Blærerot Formation and these are interpreted as coastal plain deposits (Fig 9.18). Log correlation suggests that the same overall lithologies are present in the reference well 7128/6-1. Cuttings from the basal carbonate bed in this well include a fauna very similar to that described from the type section.",Palynomorphs in the type section indicate a late Viséan – early Serpukhovian age in the type section (Bugge et al. 1995). A similar age range is indicated for the formation in well 7128/6-1 (Simon-Robertson 1992).
BOKNFJORD GP,GROUP,,15,,"The sediments of the group are dominated by shales. Varying amounts of siltstone, sandstone, limestone stringers and differences in organic content make it possible, however, to subdivide the group into formations (Olsen and Strass, 1982).",The group ranges in age from Callovian to Ryazanian.
BRENT GP,GROUP,,16,,"The group consists of grey to brown sandstones, siltstones and shales with subordinate coal beds and conglomerates.",Mainly Bajocian to Early Bathonian but including Late Toarcian to the east.
BROOM FM,FORMATION,BRENT GP,17,16.0,"In the type well it is a pale grey to brown, coarse-grained poorly sorted conglomeratic sandstone containing shale clasts.",Late Toarcian to Bajocian.
BRYGGE FM,FORMATION,HORDALAND GP,18,67.0,"Mainly claystone with stringers of sandstone, siltstone, limestone and marl. Pyrite, glauconite and shell fragments are seen in the sandstones.",Early Eocene to Early Miocene.
BRYNE FM,FORMATION,VESTLAND GP,19,186.0,"The Bryne Formation comprises interbedded sandstones, siltstones, shales and coals. The sandstones are white to grey, very fine to coarse grained, poorly sorted, friable to hard and occasionally kaolinitic. The shales are generally grey to brown, micaceous, occasionally silty, non-calcareous and often carbonaceous.","Mainly Bajocian to Bathonian, but may locally be older in the Norwegian-Danish Basin."
BURTON FM,FORMATION,DUNLIN GP,20,29.0,"In the type well it consists of a uniform development of dark grey to reddish-grey, soft non-calcareous claystone and shale, which may be in part slightly carbonaceous.",Sinemurian to Pliensbachian.
BÅT GP,GROUP,,22,,"The Båt Group consists of alternating sandstone and shale/siltstone units, with sandstone as the dominant lithology.",Rhaetian to Toarcian.
COOK FM,FORMATION,DUNLIN GP,24,29.0,"In the type well section the formation is dominantly a marine siltstone with minor grey, silty claystone intercalations. The siltstones and claystones may contain sandy streaks, becoming more prominent away from the type well, especially in Norwegian waters. On the Horda Platform and along its western margin, sandstones are the dominant lithology in the formation. The sands are white to greyish brown, very fine to fine grained, subangular to subrounded and well sorted. Occasionally thin layers of medium to coarse grained sandstones are found. The sandstones are hard to friable. Silica is the most common cement. Mica, glauconite, carbonaceous material and calcareous cement may be present.",Pliensbachian to Toarcian.
CROMER KNOLL GP,GROUP,,23,,"The Cromer Knoll Group consists mainly of fine-grained, argillaceous, marine sediments with a varying content of calcareous material. Calcareous claystones, siltstones and marlstones dominate, but subordinate layers of limestone and sandstone occur. The claystones are generally light to dark grey, olive-grey, greenish and brownish, often becoming light grey, light greenish-grey and light olive-grey marlstones. Mica, pyrite and glauconite are common. Generally, marlstones become the more dominant lithology in both the upper and lower parts of the group. On Haltenbanken, the group consists of calcareous and non-calcareous claystones inter-bedded with marls and stringers of carbonates and sandstones. Sandstones are more common in the upper part of the group.",Ryazanian (usually late) to Albian/Early Cenomanian (Noth Sea). Ryazanian to Turonian (Norwegian Sea).
DRAKE FM,FORMATION,DUNLIN GP,27,29.0,"In the type well the lower part of the formation consists of medium grey, slightly sandy, calcareous claystone. The upper part is dark grey to black, fissile, micaceous shale containing calcareous nodules. On the Horda Platform and along its western margin white to grey, fine to coarse sandstones are found within the formation. The sandstones are often hard and calcite cemented. They also show and ""upward coarsening"" on the gamma ray log. The claystone is often silty.",Toarcian to Bajocian.
DRAUPNE FM,FORMATION,VIKING GP,28,188.0,"The formation consists of dark grey-brown to black, usually non-calcareous, carbonaceous, occasionally fissile claystone. It is characterized by very high radioactivity (often above 100 API units) which is a function of organic carbon content. It has anomalously low velocity, density and high resistivity. Minor limestone streaks and concretions occur throughout the formation. In addition interbedded sandstones and siltstones can cause a reduction in gamma ray response. The reference well 15/3-1 S is an atypical example of the Draupne Formation which has been chosen to illustrate these arenaceous intercalations.",The formation ranges from Oxfordian to Ryazanian in age.
DUNLIN GP,GROUP,,29,,"The group consists mainly of dark to black argillaceous marine sediments, but in the marginal areas of the basin marine sandstones are well developed at several stratigraphic levels and can extend a considerable distance into the basin. The sandstones are white to light grey, very fine to medium grained and generally well sorted. The group tends to be more calcareous in the Norwegian sector, and in places limestone beds, some of which contain chamosite and siderite ooliths, are found.",The group ranges from Hettangian to Bajocian in age.
EGERSUND FM,FORMATION,BOKNFJORD GP,30,15.0,"In the type well the formation consists of dark grey micromicaceous shales and siltstones with brownish, locally oolitic, microcrystalline carbonate beds and occasionally sandstone streaks. The latter become more important east and north-east of the type well.",Callovian to Kimmeridgian.
EIRIKSSON FM,FORMATION,STATFJORD GP,32,157.0,"In the type well the formation is characterised by massive sandstone beds, generally correlatable between the wells, interbedded with hard grey shales. The sandstones are white to light grey, medium to very coarse grained with thin horizons of granules, pebbles, and lignite fragments, often concentrated in channels and along cross-bedding foresets. They contain slightly less kaolinite matrix, mica and rock fragments than the sandstones of the Raude Formation. The shales are slightly and commonly micaceous and carbonaceous. In the area of the Statfjord Field the sandstone beds average about 5 m in thickness and the shale beds average about 2.5 m. The sediments of this formation appear more mature than those of the Raude Formation, and marine fossils and glauconite are present near the top of the formation in the type well.","In the type well it is Hettangian, possibly extending into the early Sinemurian. However, to the west and south the base of the formation appears to be progressively older."
EKOFISK FM,FORMATION,SHETLAND GP,33,143.0,"In the type well, the formation comprises white, tan or beige, hard, dense, sometimes finely crystalline limestones, although softer chalky textures are also present. The formation usually consists of white to light grey, beige to brownish, mudstones or wackestones with occasional packstones/grainstones and pisolitic horizons, often alternating with argillaceous chalks, chalky limestones or limestones. Thin beds of grey, calcareous, often pyritic shales or clays are most common in the lower part while brownish-grey cherts occur rarely to abundantly throughout the formation.",Danian.
ELDFISK FM,FORMATION,TYNE GP,34,177.0,"The Eldfisk Formation consists predominantly of sandstone but contains substantial interbeds of shale. In the type well the sandstone is dark yellowish brown, fine to coarse grained, poorly sorted and generally angular, while the shale is medium light grey to dark grey. Both the sandstone and the shale contain calcareous streaks which produce high amplitude peaks on the sonic log.",Kimmeridgian.
ETIVE FM,FORMATION,BRENT GP,35,16.0,"The formation consists of massive grey-brown to clear, fine to coarse, occasionally pebbly and cross-bedded sandstones. The mica-content is generally low. Calcite cemented stringers are also present, especially on the Horda Platform.",Bajocian.
FALK FM,FORMATION,GIPSDALEN GP,36,51.0,"The formation consists of a mixture of shallow marine sandstones, marine siltstones and shallow marine carbonates. In 7120/2-1, the lower 51 m consists of stacked, less than 5 m thick rhythms of coarse-grained pebbly sandstone with minor shale and dolomite (Fig 9.24). Trough cross-bedding and horizontal lamination is common. This lower development is overlain by a 125 m thick unit of rhythmically interbedded shales, fossiliferous dolomitic mudstones to packstones (locally with anhydrite or chert nodules), and fine- to medium-grained sandstones with a few pebbly sandstone beds. Crinoids, brachiopods, fusulinids, small foraminifers and corals are the most abundant fossils, together with occasional phylloid algae and palaeoaplysinid plates. In the lower part of core 7029/03-U-02 and in 7030/03-U-01, the Falk Formation consists of 1 to 5 m thick fining upward units of light grey, medium- to coarse-grained, pebbly, trough cross-bedded to planar-laminated sandstones grading upwards into laminated greenish silty shales. Each unit has a sharp and erosive lower boundary. Marine fossils are limited to very rare brachiopods. The upper part of the formation in 7128/6-1 and 7029/03-U-02 consists of cycles of fine- to very fine-grained sandstone, green silty shale and carbonate wackestones to boundstones (Fig 9.25), (Fig 9.27), (Fig 9.29).","Stemmerik et al. (1995, 1998) suggested a late Bashkirian to early-middle Gzelian age based on fusulinid data. The formation is of late Bashkirian to Moscovian age in 7120/2-1, where the lower part of the overlying Ørn Formation is dated as being of late Moscovian age (Stemmerik et al. 1998). The top of the formation in 7030/03-U-01 apparently coincides with the Kasimovian-Gzelian boundary whereas an even younger age is indicated in 7029/03-U-02 where the uppermost part of the formation extends into the early to middle Gzelian (Stemmerik et al. 1995; Bugge et al. 1995). In 7128/6-1, the formation is of late Moscovian to early Gzelian age (Ehrenberg et al. 1998a)."
FANGST GP,GROUP,,38,,"The Fangst Group typically comprises three lithological units: a lower fine to medium-grained sandstone with numerous shaly interbeds, a middle mudstone, and an upper relatively massive fine to coarse-grained sandstone. Each of these units are defined as formations herein.",Late Toarcian to Bathonian.
FARSUND FM,FORMATION,TYNE GP,39,177.0,"The Farsund Formation consists predominantly of medium to dark grey shale. The shale is often well laminated and contains frequent calcareous streaks. Sandstone stringers are common in the type well 2/7-3, particularly in the lowermost part of the sequence. In the reference well 7/12-2, closer to the flank of the Southern Vestland Arch, a thinner Farsund Formation is present as a clear ""coarsening upward cycle"", becoming consistently less radioactive towards the top of the unit.",Kimmeridgian to Volgian.
FENSFJORD FM,FORMATION,VIKING GP,40,188.0,"The formation consists of sandstones, grey-brown in colour, fine to medium grained, well sorted and moderately friable to consolidated. Calcite cemented sandstones occur in bands containing common bioclastic material. In the type well it is often carbonaceous and occasionally micaceous. Minor shale intercalations occur throughout. The formation has a ""serrate"" log character, composed of 3-5 m thick units arranged in several cycles.",Callovian.
FISKEBANK FM,FORMATION,ROGALAND GP,41,131.0,"In the type section the major lithology is very fine grained, well sorted, slightly silty sandstone, which occasionally has calcareous cement.",Late Paleocene.
FJERRITSLEV FM,FORMATION,,42,,"The formation consists predominantly of grey to dark grey or greyish brown marine claystone. It is variably calcareous and pyritic. Silty intervals occur frequently, grading into grey or buff micaceous siltstone. In the Danish area the Fjerritslev Formation is divided into four members according to degree of siltiness (Michelsen, 1978). However, such a subdivision is not merited in the Norwegian sector.","The formation ranges in age from Hettangian to Pliensbachian. It is approximately equivalent to the Lower Jurassic Dunlin Group of the Northern North Sea, although no direct connection between the two sequences is thought likely."
FLADEN GP,GROUP,,205,,"The group embraces both volcanic and non-volcanic formations. Therefore the group contains a wide range of lithologies including basalts, tuff agglomerates, and normal continental to shallow water sediments.",Middle Jurassic.
FLEKKEFJORD FM,FORMATION,BOKNFJORD GP,43,15.0,"The formation consists of dark grey shales which are variably carbonaceous, pyritic and may contain thin limestone stringers.",Ryazanian.
FORTIES FM,FORMATION,ROGALAND GP,44,131.0,"The formation typically consists of interbedded sandstones, siltstones and claystones, becoming predominantly sandy higher in the section. The sand is fine to coarse grained, poorly to moderately sorted and contains minor amounts of lignite, pyrite, glauconite and mica. The sands encountered in the Norwegian sector were deposited distally in a lobe, and consist of very fine to fine, angular to subangular grains often with mica and a calcareous cement.",Late Paleocene.
FRIGG FM,FORMATION,HORDALAND GP,45,67.0,"The formation consists of sandstones with some lenses and streaks of silty claystone. The sandstones are poorly consolidated, light brown to buff, micaceous and carbonaceous, and very fine to medium, occasionally coarse grained. Some layers have a calcareous cement. Traces of glauconite are present. The silty claystones are green to grey and carbonaceous.",Early Eocene.
FRUHOLMEN FM,FORMATION,REALGRUNNEN SUBGP,46,128.0,"Basal grey to dark grey shales pass gradually upwards into interbedded sandstones, shales and coals. Sand dominates in the middle of the formation in several wells, while the upper part is more shaly, prompting a tripartite subdivision into (ascending order) the Akkar (Squid) Reke (Prawn) and Krabbe (Crab) members. The extent of these members in the type and reference wells are shown in (Fig 4.46 , 4.47).","The base of the formation is early Norian. The top corresponds in general to the Triassic/ Jurassic transition, but available data indicate that it is somewhat diachronous."
FUGLEN FM,FORMATION,ADVENTDALEN GP,47,1.0,"Pyritic mudstones with interbedded thin limestones give characteristic gamma, sonic and density log responses. The shales are dark brown and the limestones white to brownish grey.",Late Callovian to Oxfordian.
GARN FM,FORMATION,FANGST GP,48,38.0,"The Garn Formation consists of medium to coarse-grained, moderately to well-sorted sandstones. Mica-rich zones are present. The sandstone is occasionally carbonate-cemented.",Bajocian to Bathonian.
GASSUM FM,FORMATION,,49,,"In the type well the formation consists of predominantly light grey to whitish, in places rather coarse-grained sandstones, with subordinate dark-coloured clay bands and coal lenses (Larsen, 1966). In Norwegian waters the formation is predominantly a white to light grey, mainly fine to medium grained sandstone, but frequently contains coarse sand and gravel. It is often calcite cemented and in some instances contains glauconite.","Rhaetian in the type well, but seems to become younger northwards (Bertelsen, 1978). Sparse dating in the Norwegian sector gives Rhaetian to Sinemurian ages."
GIPSDALEN GP,GROUP,,51,,"The group is composed of metre-thick to rarely tens of metre-thick rhythmic units generally showing shallowing upward trends continental red bed sandstones, siltstones and conglomerates dominate the basal part of the succession. These are overlain by mixed carbonates and siliciclastics where the siliciclastics are grey-coloured marine sandstones, conglomerates and shales and the carbonates include a variety of shallow marine facies. The upper part of the group is dominated by rhythmically bedded limestones and dolomites with occasional small phylloid algal – Palaeoaplysina buildups, and minor evaporites on the platform areas. The biota is of chlorozoan composition and dominated by algae and foraminifers (c.f. Lees & Buller 1972). Seismic data suggest that the shelf carbonates pass into several hundred metre thick successions of stacked buildups in the deeper ramp areas (Elvebakk et al. 2002). These buildups have not been drilled and their internal composition and exact stratigraphic position is therefore unknown. However, similar relationships are described from age equivalent rocks in the Sverdrup Basin where the largest build-ups occur on the basin slope (Beauchamp 1993). Evaporites dominate in the basinal areas; anhydrite occurs interbedded with carbonates near platform margins whereas halite dominates in more distal settings.","The basal non-marine red-bed succession contains palynomorphs indicating a general Serpukhovian to Bashkirian age. Fusulinids suggest a late Bashkirian to Sakmarian age for the marine part of the group (Stemmerik et al. 1998; Ehrenberg et al. 1998a). In onshore areas of Svalbard, the group’s sediments have been dated to the late Serpukhovian to early Artinskian (Dallmann et al. 1999) (Fig 9.6)"
GRID FM,FORMATION,HORDALAND GP,53,67.0,"The formation consists of sandstones with interbeds of claystone and siltstone. The sandstones often have a massive, ""blocky"", appearance as illustrated by type well 15/3-3 (Fig 5.64). Individual sandstone beds show little, or no evidence of fining-upwards or coarsening- upwards. The sandstones are very fine to fine, sometimes medium to coarse. Sorting is generally moderate to good. Traces of mica, pyrite, glauconite and fossil fragments are common. A higher argillaceous content is found in distal areas. Well 24/12-1 illustrates the interfingering of thicker claystone units of the Hordaland Group with the Grid Formation (Fig 5.61). Further subdivision may be possible in the future (see Remarks).","Middle to Late Eocene, but wells 25/6-1 and 24/12-2 have given an Early Oligocene age."
HARDRÅDE FM,FORMATION,SHETLAND GP,56,143.0,"The formation consists generally of interbedded limestones and mudstones, except in the Troll area where it is thin and consists of a single limestone bed. The limestones are white or pale, moderately hard to very hard. The mudstones are medium to light grey, often silty and calcareous.",Late Campanian to Maastrichtian.
HAUGESUND FM,FORMATION,TYNE GP,57,177.0,"The Haugesund Formation consists predominantly of shale ranging in colour from light grey to brownish black. The shale is often carbonaceous and calcareous, and contains frequent thin sandstone interbeds. In general the upper part of the formation represents an overall ""coarsening-upward cycle"", becoming sandier and siltier upwards.",Callovian to Early Kimmeridgian. In neither the type nor the reference wells have pre-late Oxfordian ages been proven but Callovian mudstones assignable to the Haugesund Formation occur in the vicinity of the reference well 3/5-2.
HAVERT FM,FORMATION,SASSENDALEN GP,58,140.0,In the type well the formation consists of medium to dark grey shales with minor inter-bedded pale grey siltstones and sandstones comprising two generally coarsening upwards sequences. The reference section further north in the Hammerfest Basin shows a more monotonous silty shale sequence with only a very weak upwards coarsening trend.,Palynomorphs suggest a Griesbachian to Dienerian age.
HEATHER FM,FORMATION,VIKING GP,60,188.0,"The formation consists of mainly of grey silty claystone with thin streaks of limestone. A further subdivision of the formation is possible (Fig 3.18). although no formal status is proposed for this subdivision. Two divisions are commonly recognized. The lower division is light to dark grey, hard, silty claystone, often micaceous and calcareous. The upper division is separated into two further units by an unconformity detected by dipmeter data or biostratigraphical gaps, but no distinct lithological difference is noted. The lithology is dark grey silty claystone, carbonaceous in part with limestone streaks. (For further discussion see Deegan and Scull (1977) p. 18). On the Horda Platform where the Heather Formation interdigitates with sandstones of the Krossfjord, Fensfjord and Sognefjord formations, it becomes in places highly micaceous and may grade into a sandy siltstone.",Bathonian to Kimmeridgian.
HEGRE GP,GROUP,,61,,"The Hegre Group consists of intervals of interbedded sandstones, claystones and shales associated with sequences of dominantly sand or shale/claystone. Shales and claystones usually have reddish colours whereas the sandstones show a range in colour from white, light grey, orange to brick red. The grain size varies from very fine to very coarse and the sediments are in parts of a pebbly nature. The Hegre Group also has subordinate white limestone, anhydrite and brownishred marl.",The Triassic sections penetrated in the Northern North Sea show ages from Late Triassic (early Rhaetian) to possibly Early Triassic (?Scythian).
HEIMDAL FM,FORMATION,ROGALAND GP,62,131.0,"The formation is dominated by thick units of poorly sorted, fine to coarse grained, poorly cemented sandstones with variable amounts of mica, glauconite and detrital lignite. The sandstone units are interbedded with grey and black shales, limestones and sandy limestones. There is a wide range in number and thickness of interbedded lithologies. In general, the amount of carbonate increases towards the base of the formation.",Paleocene.
HEKKINGEN FM,FORMATION,ADVENTDALEN GP,63,1.0,"The formation consists of brownish-grey to very dark grey shale and claystone with occasional thin interbeds of limestone, dolomite, siltstone and sandstone. These minor clastic components are most common towards basinal margins. Lower parts of the formation show especially high gamma ray readings. This is used to differentiate the lower Alge from the upper Krill Member in the formation (Fig 4.50, 4.51)","Palynomorphs suggest an age span of late Oxfordian/early Kimmeridgian to Ryazanian. There are local breaks in deposition at the base and top, probably most developed near the basinal axis."
HERMOD FM,FORMATION,ROGALAND GP,64,131.0,The Hermod Formation consists of clean sandstones which are very fine to fine grained and clear to grey. The formation is to a limited extent interbedded with dark shales.,Late Paleocene.
HIDRA FM,FORMATION,SHETLAND GP,65,143.0,"In the type well the formation consists of white to light grey, hard chalks with thin interbeds of grey to black shale in the lower part of the formation. Locally the formation is more marly with interbedded marly chalk and marl. The chalks are occasionally softer with abundant glauconite and pyrite. The colour may be white, grey, green, brown or pink. At the base of the formation in UK well 22/1-2 A, hard, black, carbonaceous and argillaceous limestones are present. Traces of pink waxy tuff occur in places. The formation is generally highly bioturbated.",Cenomanian.
HOD FM,FORMATION,SHETLAND GP,66,143.0,"In the type well the formation consists of hard, white to light grey, crypto- to microcrystalline limestones which may become argillaceous or chalky in places. White, light grey to light brown, soft to hard chalk facies may dominate the formation or alternate with limestones. The limestones may be pink or pale orange. Thin, silty, white, light grey to green or brown, and soft, grey to black, calcareous clay/shale laminae are occasionally present. Pyrite and glauconite may occur throughout the formation and the latter may be common in the lower part.",Turonian to Campanian.
HORDALAND GP,GROUP,,67,,"The group consists of marine claystones with minor sandstones. The claystones are normally light grey to brown, fissile and fossiliferous. Red and green claystones sometimes occur at the base. Thin limestones and streaks of dolomite are present. Sandstones are developed at various levels in the group. These are generally very fine to medium grained, and are often interbedded with claystones.","The group is of Eocene to Early Miocene age both in the North Sea2) and the Norwegian Sea. Datings in wells 2/2-1, 2/2-2 and 2/2-3 indicate that the uppermost part of the group may be of Middle Miocene age in the Central Trough."
ILE FM,FORMATION,FANGST GP,70,38.0,"Fine to medium and occasionally coarse-grained sandstones with varying sorting are interbedded with thinly laminated siltstones and shales. Mica-rich intervals are common. Thin carbonate-cemented stringers occur, particularly in the lower parts of the unit.",Late Toarcian to Aalenian.
ISBJØRN FM,FORMATION,BJARMELAND GP,72,12.0,"Bedded, white to light grey bioclastic limestones with a fauna of mainly crinoids and bryozoans dominate the formation. The dominant facies are grainstones and packstones (Fig 9.50). The formation has a characteristic low gamma ray response throughout, except for thin intervals of dark grey silty wackestone that represent temporary deeper water deposition related to flooding events. Chert nodules occur sporadically throughout the section. The dark grey silty limestone intervals are lithologically similar to the Ulv Formation, but are regarded as part of the Isbjørn Formation if they are of subordinate importance and less than 15-20 m thick. Thicker intervals such as that from 3625 m to 3586 m in well 7121/1-1 R are included in the Ulv Formation.","The base of the formation is apparently diachronous. In the type section in 7128/6-1 fusulinids suggest that the base is of mid-Sakmarian age and the top is late Artinskian (Ehrenberg et al. 1998a). In well 7229/11-1 the top of the underlying Polarrev Formation is dated as late Sakmarian, indicating a late Sakmarian or younger age for the formation in this well (Davydov 1998). The formation is apparently of late Artinskian age in IKU cores (Bugge et al. 1995)."
JOHANSEN FM,FORMATION,DUNLIN GP,73,29.0,"In the type well the formation consists of a sequence of sandstones with thin calcite cemented streaks throughout. The lower part is medium to fine-grained, micaceous, well sorted sandstone which grades downwards into light grey silty micaceous claystone. The main section of the formation is composed of medium grained, friable sandstones, with well sorted quartz grains which are angular to subrounded. The uppermost part is composed of medium to fine grained, micaceous sandstones, which are moderately sorted, silty and argillaceous.",Sinemurian to Pliensbachian.
JORSALFARE FM,FORMATION,SHETLAND GP,74,143.0,"The formation generally consists of mudstones interbedded with thin limestone beds. The mudstones are light to medium grey, often calcareous. The limestones are white to light grey, fine grained, occasionally sandy and dolomitic.",Late Campanian to Maastrichtian.
KAI FM,FORMATION,NORDLAND GP,77,113.0,"Alternating claystone, siltstone and sandstone with limestone stringers. Glauconite, pyrite and shell fragments are common.",Early Miocene to Late Pliocene.1)
