field_name,description_heading,description,field_id
BALDER,Development ,"Balder is a field in the central part of the North Sea, just west of the Grane field. The water depth is 125 metres. Balder was discovered in 1967, and the initial plan for development and operation (PDO) was approved in 1996. Production started in 1999. The field has been developed with subsea wells tied-back to the Balder production, storage and offloading vessel (FPSO). The Ringhorne deposit, located nine kilometres north of the Balder FPSO, is included in the Balder complex. Ringhorne is developed with a combined accommodation, drilling and wellhead facility, tied-back to the Balder FPSO and Jotun FPSO for processing, crude oil storage and gas export. The nearby field Ringhorne Øst is also tied-back to Balder via the Ringhorne platform. The PDO for Ringhorne Jura was approved in 2000 and production started in 2003. The Ringhorne Vest PDO exemption was approved in 2003 and production started in 2004. An amended PDO for Ringhorne was approved in 2007.",43562
BALDER,Recovery ,"Balder and Ringhorne produce primarily by natural aquifer drive, but reinjection of produced water is used for pressure support, especially into the Ringhorne Jurassic reservoir. Excess water is injected into the Utsira Formation. Gas is also reinjected if the gas export system is down.",43562
BALDER,Transport ,The oil is transported by tankers. Excess gas from Balder and Ringhorne is exported from the Jotun FPSO through the Statpipe system to Kårstø and from there on to continental Europe.,43562
BAUGE,Development ,"Bauge is a field on Haltenbanken in the southern Norwegian Sea, 15 kilometres east of the Njord field. The water depth is 280 metres. Bauge was discovered in 2013, and the plan for development and operation (PDO) was approved in June 2017. The field will be developed with two production wells tied-back to the Njord A facility. A water injection well will be drilled from the existing subsea template on the Hyme field.",29446221
BAUGE,Reservoir ,"The main reservoirs contain oil in Lower and Middle Jurassic sandstone in the Tilje and Ile Formations, at a depth of 2,700 metres. The reservoirs are segmented and have moderate quality. ",29446221
BAUGE,Recovery strategy ,"The field will be produced by partial pressure maintenance from phased water injection, which will start a few years after production start-up.",29446221
BAUGE,Transport ,"The well stream will be transported to the Njord A platform for processing. Produced oil will be transported by pipeline to the storage vessel Njord B, and further by tankers to the market. Gas from the field is exported through a 40-kilometre pipeline connected to the Åsgard Transport System (ÅTS) and further to the Kårstø terminal. ",29446221
BLANE,Development ,"Blane is a field in the southern part of the Norwegian sector in the North Sea, 35 kilometres southwest of the Ula field. The field is located on the border to the UK sector and the Norwegian share of the field is 18 per cent. The water depth is 70 metres. Blane was discovered in 1989, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the British continental shelf with two horizontal production wells tied to Ula. Production started in 2007.",3437650
BLANE,Reservoir ,"Blane produces oil from Paleocene sandstone in the Forties Formation. The reservoir is of moderate to good quality and lies at a depth of 3,100 metres. ",3437650
BLANE,Recovery ,"Until 2019, the field was produced with pressure support from injection of produced water from the Blane, Tambar and Ula fields. The field is now produced by pressure depletion. In addition, gas lift is used in the wells.",3437650
BLANE,Transport ,"The well stream is transported by pipeline to the Ula field for processing. The oil is exported further to Teesside in the UK, while the gas is sold to Ula for injection into the Ula reservoir.",3437650
BRAGE,Development ,"Brage is a field in the northern part of the North Sea, ten kilometres east of the Oseberg field. The water depth is 140 metres. Brage was discovered in 1980, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an integrated production, drilling and accommodation facility with a steel jacket. Production started in 1993. A PDO for Brage Sognefjord was approved in 1998. The authorities granted PDO exemptions for the Brent Ness and Bowmore Brent deposits in 2004 and 2007, respectively.",43651
BRAGE,Reservoir ,"Brage produces oil from sandstone of Early Jurassic age in the Statfjord Group, and sandstone of Middle Jurassic age in the Brent Group and the Fensfjord Formation. There is also oil and gas in Upper Jurassic sandstone in the Sognefjord Formation. The reservoirs lie at a depth of 2,000-2,300 metres. The reservoir quality varies from poor to excellent.",43651
BRAGE,Recovery ,"The recovery strategy in Statfjord and Fensfjord is water injection. In the Brent Group, the production strategy is water alternating gas (WAG) injection, and the Sognefjord Formation is produced by depletion and by pressure support from the aquifer.",43651
BRAGE,Transport ,The oil is transported by pipeline to the Oseberg field and further through the Oseberg Transport System (OTS) pipeline to the Sture terminal. A gas pipeline is tied-back to Statpipe.,43651
BRYNHILD,Development ,"Brynhild is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres from the UK sector and 55 kilometres northwest of the Ula field. The water depth is 80 metres. Brynhild was discovered in 1992, and the plan for development and operation (PDO) was approved in 2011. The development concept was a subsea template including four wells, tied-in to the Haewene Brim production, storage and offloading vessel (FPSO) located on the Pierce field in the British sector. Production started in 2014.",21123063
BRYNHILD,Reservoir ,"Brynhild produced oil from sandstone of Late Jurassic age in the Ula Formation. The reservoir lies at a depth of 3,300 metres, and the reservoir conditions are close to high pressure, high temperature (HPHT) conditions. ",21123063
BRYNHILD,Recovery ,The field was produced by pressure support from water injection. Water for injection was supplied from the Pierce field. ,21123063
BRYNHILD,Transport ,"The well stream was transported by pipeline to the Haewene Brim FPSO for processing. The processed oil was exported by shuttle tankers to the market, and gas was reinjected into the Pierce field. ",21123063
BYRDING,Reservoir ,"Byrding produces oil and gas from turbiditic sandstone of Late Jurassic age in the Heather Formation. The reservoir lies at a depth of 3,050 metres. It is structurally complex and has good reservoir quality.",28975067
BYRDING,Recovery strategy ,The field is produced by pressure depletion.,28975067
BYRDING,Transport ,The well stream is routed through Fram Vest to Troll C for processing. The oil is transported further in the Troll Oil Pipeline II to the Mongstad terminal and the gas is exported via Troll A to the Kollsnes terminal.,28975067
BYRDING,Development ,"Byrding is a field in the northern part of the North Sea, four kilometres north of the Fram H-Nord field and 30 kilometres north of the Troll C facility. The water depth is 360 metres. Byrding was discovered in 2005, and the plan for development and operation (PDO) was approved in 2017. The development concept is a two-branch multilateral (MLT) well, which was drilled from the Fram H-Nord template. Production started in 2017.",28975067
BØYLA,Development ,"Bøyla is a field in the central part of the North Sea, 28 kilometres south of the Alvheim field. The water depth is 120 metres. Bøyla was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a subsea installation including two horizontal production wells and one water injection well. The field is tied-back to the Alvheim production, storage and offloading vessel (FPSO). Production started in 2015.",22492497
BØYLA,Reservoir ,"Bøyla produces oil from sandstone of late Paleocene to early Eocene age in the Hermod Formation. The reservoir has good quality and lies in a channelised submarine fan system at depth of 2,100 metres. ",22492497
BØYLA,Recovery ,The field is produced with pressure support from water injection. Gas lift is also necessary to support flow in the wells. ,22492497
BØYLA,Transport ,"The well stream is transported by pipeline to the Alvheim FPSO, where the oil is stabilised and stored before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.",22492497
COD,Recovery ,The field was produced by pressure depletion.,43785
COD,Development ,"Cod is a field in the southern part of the Norwegian sector in the North Sea, 75 kilometres northwest of the Ekofisk field. The water depth is 75 metres. Cod was discovered in 1968, and the plan for development and operation (PDO) was approved in 1973. The field was developed with a combined drilling, production and accommodation facility and started production in 1977.",43785
COD,Reservoir ,"The Cod field produced gas and condensate from deep-marine turbiditic sandstone of Paleocene age in the Forties Formation. The deposit has a complex structure with several separate reservoirs at a depth of 3,000 metres. ",43785
COD,Transport ,The well stream was sent via pipeline to the Ekofisk Complex for export.,43785
DRAUGEN,Development ,"Draugen is a field in the southern part of the Norwegian Sea. The water depth is 250 metres. Draugen was discovered in 1984, and the plan for development and production (PDO) was approved in 1988. The field has been developed with a concrete fixed facility and integrated topside, and has both platform and subsea wells. Stabilised oil is stored in tanks at the base of the facility. Two pipelines connect the facility to a floating loading-buoy. Production started in 1993.",43758
DRAUGEN,Reservoir ,"Draugen produces oil from two formations. The main reservoir is in sandstone of Late Jurassic age in the Rogn Formation. The western part of the field also produces from sandstone of Middle Jurassic age in the Garn Formation. The reservoirs lie at a depth of 1,600 metres. They are relatively homogeneous, with good reservoir quality.",43758
DRAUGEN,Recovery ,The field is produced by pressure maintenance from water injection and by aquifer support.,43758
DRAUGEN,Transport ,"The oil is offloaded via a floating loading-buoy and exported by tankers. The associated gas was earlier transported via the Åsgard Transport System (ÅTS) to the Kårstø terminal, but is now used for power generation on the platform. ",43758
DUVA,Reservoir ,"The reservoir contains oil and gas in turbiditic sandstone of Early Cretaceous age in the Agat Formation. It is a stratigraphic trap at a depth of 2,200 metres. The reservoir quality is good.",34833026
DUVA,Development ,"Duva is a field in the northern part of the North Sea, six kilometres northeast of the Gjøa field. The water depth is 350 metres. Duva was discovered in 2016, and the plan for development and operation (PDO) was approved in 2019. Duva will be developed with a 4-slot subsea template with three oil production wells and one gas production well tied-back to the Gjøa platform.",34833026
DUVA,Recovery strategy ,The field will be produced by pressure depletion and gas expansion in the gas cap.  ,34833026
DUVA,Transport ,"The well stream will be routed to the Gjøa platform for processing and export. The oil will be transported further through the Troll Oil Pipeline II to the Mongstad terminal, and the gas will be exported via the Far North Liquids and Associated Gas System (FLAGS) pipeline to St Fergus in the UK.",34833026
DVALIN,Development ,"Dvalin is a field in the central part of the Norwegian Sea, 15 kilometres northwest of the Heidrun field. It consists of two separate structures that are 3.5 kilometres apart. Dvalin East was proven in 2010 and Dvalin West was proven in 2012. The water depth is 340 and 400 metres, respectively. The plan for development and production (PDO) was approved in 2017. The development concept is a subsea template with four production wells tied-back to the Heidrun platform.",29393934
DVALIN,Reservoir ,"Both Dvalin East and Dvalin West contain gas in Middle Jurassic sandstone in the Ile and Garn Formations. The reservoirs lie at a depth of 4,500 metres and have high pressure and high temperature (HPHT). The homogeneous shallow marine Garn sandstone has good reservoir quality, while the more heterogeneous and fine-grained Ile sandstone has less favourable reservoir properties.",29393934
DVALIN,Recovery strategy ,The field is produced by pressure depletion.,29393934
DVALIN,Transport ,The well stream is transported via pipeline to Heidrun for processing at a dedicated gas processing module. The gas is then transported via Polarled to Nyhamna for further processing before being exported as dry gas via Gassled to the market.,29393934
EDDA,Development ,"Edda is a field in the southern part of the Norwegian sector in the North Sea, 12 kilometres southwest of the Ekofisk field. The water depth is 70 metres. Edda was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with a manned wellhead and production facility and started production in 1979. ",43541
EDDA,Reservoir ,"Edda produced oil from Maastrichtian and lower Paleocene chalk. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of approximately 3,100 metres.",43541
EDDA,Recovery ,"The field was produced with pressure depletion. Starting in 1988, gas from the Tommeliten Gamma field was transported to Edda and used for gas lift in the wells.",43541
EDDA,Transport ,The well stream was sent via pipeline to the Ekofisk Complex for export.,43541
EDVARD GRIEG,Development ,"Edvard Grieg is a field in the Utsira High area in the central North Sea, 35 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Edvard Grieg was discovered in 2007, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a fixed installation with a steel jacket and full process facility, and it utilises a jack-up rig for drilling and completion of wells. The Edvard Grieg installation supplies power to the Ivar Aasen field and processes the well stream from Ivar Aasen. The installation is also equipped for possible tie-in of nearby discoveries. Production started in 2015.",21675433
EDVARD GRIEG,Reservoir ,"Edvard Grieg produces undersaturated oil from alluvial, aeolian and shallow marine sandstone and conglomerate of Late Triassic to Early Cretaceous age. Reservoir quality varies from moderate to very good in marine and aeolian sandstone, while the quality is poorer in alluvial sandstone and conglomerate. Oil is also proven in the underlying basement. The reservoir is at a depth of 1,900 metres. ",21675433
EDVARD GRIEG,Recovery ,The field is produced by pressure support from water injection.,21675433
EDVARD GRIEG,Transport ,"The oil is exported by pipeline to the Grane Oil Pipeline, which is connected to the Sture terminal. The gas is exported in a separate pipeline to the Scottish Area Gas Evacuation (SAGE) system in the UK.",21675433
EKOFISK,Development ,"Ekofisk is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Ekofisk was discovered in 1969, and the initial plan for development and operation (PDO) was approved in 1972. Test production was initiated in 1971 and ordinary production started in 1972. Production was initially routed to tankships until a concrete storage tank was installed in 1973. Since then, the field has been further developed with many facilities, including facilities for associated fields and export pipelines. Several of the initial facilities have already been removed or are awaiting decommissioning. The initial field development started with three production platforms: Ekofisk A, Ekofisk B and Ekofisk C. Wellhead platform Ekofisk X and process platform Ekofisk J were installed in 1996 and 1998, respectively, as part of the Ekofisk II project. In 2005, wellhead platform Ekofisk M was installed as part of the Ekofisk Growth Project. A plan for water injection at Ekofisk was approved in 1983. Ekofisk K, which is the main injection facility, started water injection in 1987 and is still in operation. There had also been water injection at Ekofisk W from 1989 until 2009, when Ekofisk W was shut down and replaced by a subsea template, Ekofisk VA. A PDO for the development of Ekofisk South was approved in 2011. The project included two new installations in the southern part of the field: production platform Ekofisk Z and a subsea template for water injection, Ekofisk VB. Injection from Ekofisk VB and production from Ekofisk Z started in 2013. The accommodation facilities Ekofisk H and Ekofisk Q were replaced by Ekofisk L in 2014. An amended PDO for an additional water injection template, Ekofisk VC, was approved in 2017.",43506
EKOFISK,Reservoir ,"Ekofisk produces oil from naturally fractured chalk of Late Cretaceous age in the Tor Formation and early Paleocene age in the Ekofisk Formation. The reservoir rock has high porosity, but low permeability. The reservoir has an oil column of more than 300 metres and lies at 3,000 metres depth. ",43506
EKOFISK,Recovery ,"Ekofisk was originally produced by pressure depletion and had an expected recovery factor of 17 per cent. Since then, comprehensive water injection has contributed to a substantial increase in oil recovery. Large-scale water injection started in 1987, and in subsequent years, the area for water injection has been extended in several phases. Experience has proven that water displaces the oil much more effectively than anticipated, and the expected final recovery factor for Ekofisk is now estimated to be over 50 per cent. In addition to the water injection, compaction of the soft chalk provides extra force to drainage of the field. The reservoir compaction has resulted in about 10 metres subsidence of the seabed, especially in the central part of the field. It is expected that the subsidence will continue, but at a much lower rate.",43506
EKOFISK,Transport ,"Oil and gas are routed to export pipelines via the processing facility at Ekofisk J. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43506
ELDFISK,Development ,"Eldfisk is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres south of the Ekofisk field. The water depth is 70 metres. Eldfisk was discovered in 1970, and the plan for development and operation (PDO) was approved in 1975. The initial development consisted of three facilities: Eldfisk B (a combined drilling, wellhead and process facility), and Eldfisk A and Eldfisk FTP (wellhead and process facilities). Production started in 1979. A PDO for water injection was approved in 1997, and the injection facility Eldfisk E was installed in 1999. This facility also provides some the water to Ekofisk K for injection on the Ekofisk field. A PDO for Eldfisk II was approved in 2011, and included a new integrated facility, Eldfisk S, connected by bridge to Eldfisk E. Production from Eldfisk S started in 2015. This facility replaces several functions of Eldfisk A and Eldfisk FTP. Eldfisk A is converted into a wellhead platform and Eldfisk FTP is used as bridge-support facility. The Embla field, located south of Eldfisk, is tied to Eldfisk S.",43527
ELDFISK,Reservoir ,"Eldfisk produces oil from chalk of Late Cretaceous and early Paleocene age in the Hod, Tor and Ekofisk Formations. The reservoir rock has high porosity, but low permeability. Natural fracturing allows the reservoir fluids to flow more easily. The field consists of three structures: Alpha, Bravo and Eldfisk Øst. The reservoirs lie at depths of 2,700-2,900 metres.",43527
ELDFISK,Recovery ,"Eldfisk was originally produced by pressure depletion. In 1999, water injection was implemented through horizontal injection wells. Pressure depletion and the water weakening effect have caused reservoir compaction, which in turn has resulted in several metres of seabed subsidence. The Eldfisk II project extends waterflooding on the field.",43527
ELDFISK,Transport ,"Oil and gas are sent to the export pipelines via the Ekofisk Centre. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43527
EMBLA,Development ,"Embla is a field in the southern part of the Norwegian sector in the North Sea, just south of the Eldfisk field. The water depth is 70 metres. Embla was discovered in 1988, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an unmanned wellhead facility, which is remotely controlled from Eldfisk. Production started in 1993. In 1995, an amended PDO for Embla was approved.",43534
EMBLA,Reservoir ,"Embla produces oil and gas from segmented sandstone and conglomerate of Devonian and Permian age. The reservoir lies at a depth of more than 4,000 metres and has high pressure and high temperature (HPHT). It has a complex, highly faulted structure.",43534
EMBLA,Recovery ,The field is produced by pressure depletion.,43534
EMBLA,Transport ,"Oil and gas are transported by pipeline to the Eldfisk S facility for processing, and further to the Ekofisk Centre for export. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43534
ENOCH,Development ,"Enoch is a field in the central part of the North Sea on the border to the British sector, ten kilometres northwest of the Gina Krog field. The Norwegian share of the field is 20 per cent. Enoch was proven in 1985, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the UK continental shelf and is tied to the British Brae field. Production started in 2007.",3437659
ENOCH,Recovery ,The field is produced by pressure depletion.,3437659
ENOCH,Transport ,The well stream from Enoch is transported to the Brae A facility for processing and further transport by pipeline to Cruden Bay in the UK. The gas is sold to Brae.,3437659
ENOCH,Reservoir ,"Enoch produces oil from Forties sandstone of Paleocene age. The reservoir lies at a depth of 2,100 metres and has variable quality.",3437659
FENJA,Development ,"Fenja is a field in the Norwegian Sea, 35 kilometres southwest of the Njord field. The water depth is 325 metres. The field also includes the discovery 6406/12-3 A (Bue). Fenja was discovered in 2014, and the plan for development and operation (PDO) was approved in 2018. The planned development consists of two subsea templates with a total of six wells tied-back to the Njord A facility.",31164879
FENJA,Reservoir ,"The reservoirs contain oil and gas in sandstone of Late Jurassic age in the Melke Formation, and oil in Upper Jurassic sandstone in the Rogn Formation. The reservoirs are in a fan system at a depth of 3,200-3,500 metres, and they have variable properties. ",31164879
FENJA,Recovery strategy ,The field will be produced by pressure support from water and gas injection. Produced gas will be reinjected into the reservoir.,31164879
FENJA,Transport ,The well stream will be routed by pipeline to the Njord A facility for processing. The oil will be stored at the Njord B facility and transferred to shuttle tankers. The reinjected gas will be produced at the end of the oil production period. The gas will be exported via Åsgard Transport System (ÅTS).,31164879
FLYNDRE,Transport ,"The well stream is processed on the Clyde field. Liquids are transported to the Fulmar platform and further to Teesside in the UK via Norpipe. Some of the gas is used offshore for fuel and flare on the Clyde and Fulmar fields, with the remainder going to the terminal of the Shell-Esso Gas and Liquids (SEGAL) system at St Fergus in the UK.",24635035
FLYNDRE,Development ,"Flyndre is a field in the southern part of the Norwegian sector in the North Sea, straddling the border between the Norwegian and UK sectors. The Norwegian share of the field is seven per cent. Flyndre is located 35 kilometres northwest of the Ekofisk field. The water depth is 70 metres. Flyndre was discovered in 1974, and the plan for development and operation (PDO) was approved in 2014. The development includes a subsea horizontal well tied-back to the Clyde platform on the UK continental shelf. Production started in 2017.",24635035
FLYNDRE,Reservoir ,"Flyndre produces oil and associated gas from Balmoral sandstone of Paleocene age. The reservoir lies at a depth of 3,000 metres and has moderate to good quality. There is also oil in Upper Cretaceous chalk with poor reservoir quality at a depth of 3,100 metres. ",24635035
FLYNDRE,Recovery ,The field is produced by pressure depletion. Only the Balmoral reservoir is developed.,24635035
FRAM,Development ,"Fram is a field in the northern part of the North Sea, 20 kilometres north of the Troll field. The water depth is 350 metres. Fram was discovered in 1990 and comprises two main structures, Fram Vest and Fram Øst, with several deposits. The plan for development and operation (PDO) for Fram Vest was approved in 2001, and production started in 2003. The PDO for Fram Øst was approved in 2005, and production started in 2006. Both structures are developed with two subsea templates each, tied-back to the Troll C platform. A PDO exemption for Fram C-Øst was approved in 2016; the development included a long oil producer drilled from the B2-template on Fram Øst. Another PDO exemption was granted in 2018 for two wells in the Fram-Øst Brent reservoir, drilled from one of the existing templates on Fram Øst.",1578840
FRAM,Reservoir ,"Fram produces oil and associated gas from sandstone of Middle Jurassic age in the Brent Group, and from Upper Jurassic sandstone in a marine fan system in the Draupne Formation and the shallow marine Sognefjord Formation. The reservoirs have a gas cap and lie in several isolated, rotated fault blocks at 2,300-2,500 metres depth. The reservoir in Fram Vest is complex. The reservoirs in Fram Øst are generally of good quality.",1578840
FRAM,Recovery ,"The Fram Øst deposit in the Sognefjord Formation is produced by injection of produced water as pressure support, in addition to natural aquifer drive. The Brent reservoirs in Fram Øst are produced by pressure support from natural aquifer drive. Gas lift is used in the wells. Oil production from Fram is restricted by the gas processing capacity at the Troll C facility. The gas blow-down phase, production of the gas cap, has started at Fram Vest.",1578840
FRAM,Transport ,"The well stream is transported by pipeline to the Troll C platform for processing. The oil is transported further by the Troll Oil Pipeline II to the Mongstad terminal, and the gas is exported via the Troll A platform to the Kollsnes terminal.",1578840
FRAM H-NORD,Development ,"Fram H-Nord is a field just north of the Fram field in the northern part of the North Sea. The water depth is 360 metres. Fram H-Nord was discovered in 2007, and the authorities granted an exemption from the plan for development and operation (PDO) requirement in 2013. The field is developed with a two-branch multilateral (MLT) well from a 4-slot template. Production started in 2014. The Byrding field is also drilled from the Fram H-Nord template.",23410947
FRAM H-NORD,Reservoir ,"Fram H-Nord produces oil and gas from turbiditic sandstone of Late Jurassic age in the Heather Formation. The reservoir lies at a depth of 2,950 metres and has good quality.",23410947
FRAM H-NORD,Recovery ,The field is produced by pressure depletion.,23410947
FRAM H-NORD,Transport ,"The well stream is routed through a template on Fram Vest and further to the Troll C facility for processing. The oil is transported further by the Troll Oil Pipeline II to the Mongstad terminal, and the gas is exported via the Troll A platform to the Kollsnes terminal.",23410947
FRIGG,Development ,"Frigg is a field in the central part of the North Sea, straddling the border between the UK and Norwegian sectors. The water depth is 100 metres. Frigg was discovered in 1971, and the plan for development and operation (PDO) was approved in 1974. The field was developed with a living quarters facility (QP), two process facilities (TP1 and TCP2) and two drilling facilities (DP2 and CDP1). TP1, CDP1 and TCP2 had concrete substructures and steel frame topsides. The two other facilities had steel jackets. CDP1, TP1 and QP were on the UK part of the field. The facilities on the field also treated oil and gas from the fields Frøy, Nord Øst Frigg, Øst-Frigg, Lille-Frigg and Odin. Production started in 1977.",43555
FRIGG,Reservoir ,"Frigg produced gas from deep marine, turbiditic sandstone of Eocene age in the Frigg Formation, at a depth of 1,900 metres. ",43555
FRIGG,Transport ,The gas was transported via a 180-kilometre pipeline to the Shell-Esso Gas and Liquids (SEGAL) terminal at St Fergus in the UK.,43555
FRIGG,Recovery ,The field was produced by pressure depletion.,43555
FRØY,Development ,"Frøy is a field in the central part of the North Sea, 22 kilometres northeast of the Heimdal field. The water depth is 120 metres. Frøy was discovered in 1987, and the plan for development and operation (PDO) was approved in 1992. The field was developed with a wellhead facility with 15 well slots. Production started in 1995. ",43597
FRØY,Reservoir ,"Frøy produced oil from Jurassic sandstone in the Brent Group at a depth of 3,200-3,300 metres. ",43597
FRØY,Recovery ,The field was produced by pressure support from water injection.,43597
FRØY,Transport ,"The well stream was transported by pipeline to the Frigg field for treatment and metering, and transported further via pipeline to the terminal of the Shell-Esso Gas and Liquids (SEGAL) system at St Fergus in the UK. ",43597
GAUPE,Transport ,"The well stream was processed at the Armada installation for export to the UK. The rich gas was transported via the Central Area Transmission System (CATS) pipeline to Teesside in the UK, and liquids were transported via the Forties pipeline to Cruden Bay in the UK. ",18161341
GAUPE,Recovery ,The field was produced by pressure depletion. ,18161341
GAUPE,Reservoir ,"Gaupe produced oil and gas from two structures, Gaupe South and Gaupe North. Most of the resources were in sandstone in the Triassic Skagerrak Formation, while some were in Middle Jurassic sandstone. The reservoirs lie at a depth of 3,000 metres. The two structures had a gas cap overlying an oil zone. Due to segmentation, the vertical and lateral connectivity in the field is poor. ",18161341
GAUPE,Development ,"Gaupe is a field in the central part of the North Sea close to the border to the UK sector, about 35 kilometres south of the Sleipner Øst field. The water depth is 90 metres. Gaupe was discovered in 1985, and the plan for development and operation (PDO) was approved in 2010. The development concept was two single horizontal subsea wells tied to the Armada installation on the UK continental shelf. Production started in 2012.",18161341
GIMLE,Development ,"Gimle is a field in the northern part of the North Sea, just northeast of the Gullfaks field. The water depth is 220 metres. Gimle was discovered in 2004, and was granted exemption from the plan for development and operation (PDO) requirement in 2006. The field is developed with three production wells and one water injection well drilled from the Gullfaks C facility. Production started in 2006.",4005142
GIMLE,Reservoir ,"Gimle produces oil from sandstone of Middle Jurassic age in the Brent Group. The main reservoir is in a downfaulted structure northeast of the Gullfaks field at a depth of 2,900 metres. Reservoir quality is generally good. There is also oil in sandstone of Late Triassic and Early Jurassic age.",4005142
GIMLE,Recovery ,The field is produced by partial pressure support from water injection. Injection is temporarily stopped due to production shut down.,4005142
GIMLE                                   ,Transport ,The production from Gimle is processed on the Gullfaks C facility and transported together with oil and gas from the Gullfaks field.,4005142
