unit,NPDIDunit,Level,parentunit,country,lithology,period
Hermod Formation,hermod formation,FORMATION,rogaland group,United Kingdom,The Hermod Formation consists of clean sandstones which are very fine to fine grained and clear to grey. The formation is to a limited extent interbedded with dark shales. ,Late Paleocene. 
Hidra Formation,hidra formation,FORMATION,shetland group,Norway,"In the type well the formation consists of white to light grey, hard chalks with thin interbeds of grey to black shale in the lower part of the formation. Locally the formation is more marly with interbedded marly chalk and marl. The chalks are occasionally softer with abundant glauconite and pyrite. The colour may be white, grey, green, brown or pink. At the base of the formation in UK well 22/1-2 A, hard, black, carbonaceous and argillaceous limestones are present. Traces of pink waxy tuff occur in places. The formation is generally highly bioturbated. ",Cenomanian. 
Hugin Formation,hugin formation,FORMATION,vestland group,Norway,"The formation consists of light brown to yellow, very fine to medium grained sandstones. Occasional coarse grained layers are found. The sandstones have fair sorting, and the grains are subangular to subrounded. Shale and siltstone partings are common. Carbonaceous material and coal fragments are abundant. Occasional thin coal beds can be observed. The sandstones are often bioturbated, but cross bedding can sometimes be observed. The sandstones are often calcareous and glauconitic. ",Early Bathonian to Early Oxfordian. 
Ile Formation,ile formation,FORMATION,fangst group,Norway,"Fine to medium and occasionally coarse-grained sandstones with varying sorting are interbedded with thinly laminated siltstones and shales. Mica-rich intervals are common. Thin carbonate-cemented stringers occur, particularly in the lower parts of the unit. ",Late Toarcian to Aalenian. 
Intra Åsgard Formation sandstones (informal),intra Úsgard formation sandstones (informal),FORMATION,fangst group,Norway,"Fine to medium and occasionally coarse-grained sandstones with varying sorting are interbedded with thinly laminated siltstones and shales. Mica-rich intervals are common. Thin carbonate-cemented stringers occur, particularly in the lower parts of the unit. ",Late Toarcian to Aalenian. 
Isbjørn Formation,isbjørn formation,FORMATION,cromer knoll group,Norway,"Bedded, white to light grey bioclastic limestones with a fauna of mainly crinoids and bryozoans dominate the formation. The dominant facies are grainstones and packstones (Fig 9.50). The formation has a characteristic low gamma ray response throughout, except for thin intervals of dark grey silty wackestone that represent temporary deeper water deposition related to flooding events. Chert nodules occur sporadically throughout the section. The dark grey silty limestone intervals are lithologically similar to the Ulv Formation, but are regarded as part of the Isbjørn Formation if they are of subordinate importance and less than 15-20 m thick. Thicker intervals such as that from 3625 m to 3586 m in well 7121/1-1 R are included in the Ulv Formation. ","The base of the formation is apparently diachronous. In the type section in 7128/6-1 fusulinids suggest that the base is of mid-Sakmarian age and the top is late Artinskian (Ehrenberg et al. 1998a). In well 7229/11-1 the top of the underlying Polarrev Formation is dated as late Sakmarian, indicating a late Sakmarian or younger age for the formation in this well (Davydov 1998). The formation is apparently of late Artinskian age in IKU cores (Bugge et al. 1995). "
Johansen Formation,johansen formation,FORMATION,dunlin group,Norway,"In the type well the formation consists of a sequence of sandstones with thin calcite cemented streaks throughout. The lower part is medium to fine-grained, micaceous, well sorted sandstone which grades downwards into light grey silty micaceous claystone. The main section of the formation is composed of medium grained, friable sandstones, with well sorted quartz grains which are angular to subrounded. The uppermost part is composed of medium to fine grained, micaceous sandstones, which are moderately sorted, silty and argillaceous. ",Sinemurian to Pliensbachian. 
Jorsalfare Formation,jorsalfare formation,FORMATION,shetland group,Norway,"The formation generally consists of mudstones interbedded with thin limestone beds. The mudstones are light to medium grey, often calcareous. The limestones are white to light grey, fine grained, occasionally sandy and dolomitic. ",Sinemurian to Pliensbachian. 
Kai Formation,kai formation,FORMATION,nordland group,United Kingdom,"Alternating claystone, siltstone and sandstone with limestone stringers. Glauconite, pyrite and shell fragments are common. ",Early Miocene to Late Pliocene.1) 
Klappmyss Formation,klappmyss formation,FORMATION,sassendalen group,Norway,"Medium to dark grey shales pass upwards into interbedded shales, siltstones and sandstones in the type well. The reference well shows a similar trend, but with more shale throughout. ",Palynofloras suggest a Smithian to Spathian age. 
Klippfisk Formation,klippfisk formation,FORMATION,adventdalen group,Norway,"Limestone, marl and calcareous sandstone. ","Late Berriasian to Hauterivian, based on palynology, nanofossils and bivalves. "
Knurr Formation,knurr formation,FORMATION,adventdalen group,Norway,"In the type well the formation consists of dark grey to greyish brown claystone with thin limestone and dolomite interbeds. Thin sandstones are also seen in the unit's lower parts, but these disappear laterally into the Hammerfest Basin. Red to yellow brown claystone generally occurs in the upper parts of the formation. ",Dinoflagellates and foraminifera suggest a Ryazanian/Valanginian to early Barremian age. 
Kobbe Formation,kobbe formation,FORMATION,sassendalen group,Norway,"A basal 20 m thick shale unit passes up into interbedded shale, siltstone and carbonate cemented sandstone. ","An Anisian age is suggested by palynomorphs, with a probable break in deposition in the early and/or late Anisian. "
Kolje Formation,kolje formation,FORMATION,adventdalen group,Norway,"Dark brown to dark grey shale and claystone dominate, with minor interbeds of pale limestone and dolomite. The upper part of the formation also has thin interbeds of light grey-brown siltstone and sandstone. The reference well displays similar lithologies. ",An early Barremian to late Barremian/early Aptian age is suggested. 
Kolmule Formation,kolmule formation,FORMATION,adventdalen group,Norway,"Dark grey to green claystone and shale, silty in parts with minor thin siltstone interbeds and limestone and dolomite stringers. Traces of glauconite and pyrite occur. The reference well has the same lithology. ",Aptian to mid-Cenomanian. 
Krabbe Member,krabbe member,FORMATION,fruholmen formation,Norway,Shale. ,Rhaetian (based on palynology). 
Krill Member,krill member,FORMATION,hekkingen formation,Norway,"The Krill Member is dominated by brownish-grey to very dark grey shale and mudstone with occasional thin interbeds of limestone, dolomite, siltstone and sandstone. ",Kimmeridgian – Volgian. 
Krossfjord Formation,krossfjord formation,FORMATION,viking group,Norway,"The formation consists of sandstones, light grey-brown in colour, medium to coarse grained, well sorted, and loose to very friable. Occasionally calcite cemented streaks occur. The lower portion of the Krossfjord Formation is slightly argillaceous and carbonaceous with minor shale intercalations. ",Bathonian. 
Kupferschiefer Formation,kupferschiefer formation,FORMATION,zechstein group,Norway,"Thin, grey-black, radioactive, locally calcareous organic-rich shale. In the type well it is a dark brown to black dolomitic shale. In the reference wells it is dark grey to black, carbonaceous and micaceous shale, usually laminated and fissile. ",Late Permian. 
Kutling Member,kutling member,FORMATION,klippfisk formation,Norway,The Kutling Member is a condensed carbonate succession consisting of limestones and marls and represents the entire Klippfisk Formation on the Bjarmeland Platform. ,"Late Berriasian – Hauterivian, based on palynology, nanofossils, bivalves. "
Kveite Formation,kveite formation,FORMATION,nygrunnen group,Norway,Greenish-grey to grey shales and claystones show thin interbeds of limestone and siltstone. A tuffaceous and/or glauconitic component is reported from several wells. ,Total span appears to be late Cenomanian to early Maastrichtian. 
Kviting Formation,kviting formation,FORMATION,nygrunnen group,Norway,"The type section shows calcareous sandstones with interbedded sandy and glauconitic mudstones. Limestones in the reference well are interbedded with, and grade up into sandy claystones. ",Campanian. 
Kvitnos Formation,kvitnos formation,FORMATION,shetland group,Norway,Grey and greyish green calcareous claystones with carbonate and sandstone stringers. ,Turonian to Santonian. 
Kyrre Formation,kyrre formation,FORMATION,shetland group,Norway,"The formation consists of mudstones with occasional limestone beds. Some sandstone beds are found in parts of the Agat area. The mudstones are medium grey to grey, silty to calcareous, occasionally pyritic, glauconitic or micaceous. The sandstones are clear to white, and very fine to fine grained. ",Late Turonian to Campanian. 
Lange Formation,lange formation,FORMATION,cromer knoll group,Norway,Dominant light/medium grey to green and brown claystones contain stringers of carbonates and sandstones. Claystones in the Barremian-Aptian interval are often reddish-brown and are occasionally interbedded with tuffs. ,Ryazanian to Turonian. 
Lista Formation,lista formation,FORMATION,rogaland group,United Kingdom,"The Lista Formation consists of brown to grey-brown shales, which are generally non-tuffaceous and poorly laminated. Occasionally it contains stringers of limestone, dolomite and pyrite. Thin sandstone layers are locally developed. They are less than 5 m thick, and are most common in the lower part of the formation. ",Late Paleocene. 
Lomvi Formation,lomvi formation,FORMATION,hegre group,Norway,"The Lomvi Formation consists of fine to coarse-grained kaolinitic sandstone with subordinate and thin red marls and claystones. The sandstones, which are light brown, grey or white, are generally more coarse-grained in the reference well than in the type well. ",Triassic; no more precise dating available. 
Lunde Formation,lunde formation,FORMATION,hegre group,Norway,"The formation is an interbedded sequence of very fine to very coarse-grained sandstones (2 to 10 m thick), claystones, marls and shales.^The sandstones are mainly white, pink or grey and cemented to a variable degree with kaolinite, anhydrite and carbonate. Fine-grained sandstones from the upper portion of the formation (core data from UK well 211/13-1) display small scale ripple cross stratification, bioturbation and incorporated mud clasts and mud balls. This part of the formation may also have small fining upward sequences.^The interbedded argillaceous units are dominantly red-brown claystones, siltstones and shales with thin limestones (possibly caliche). Tuff horizons are present in the lower half of the formation in the Statfjord Field area. The lowermost part of the Lunde Formation consists in the Statfjord Field area (and westward into UK waters), of a sequence which is very uniform both in lithology and thickness. It is around 300 thick and consists mainly of brick red to red brown calcareous claystones grading to marls which are normally soft, silty and micaceous. This lower sequence is easily recognisable and may eventually be separated out and assigned formation status. ","Late Triassic, possibly Norian to early Rhaetian age. "
Lyr Formation,lyr formation,FORMATION,cromer knoll group,Norway,The formation consists of light/medium grey to light greyish-green marls with interbedded carbonates. ,Valanginian to Early Aptian. 
Lysing Formation,lysing formation,FORMATION,cromer knoll group,Norway,"Predominantly fine to medium, occasionally coarse grained, white-grey sandstones, partly carbonate-cemented and interbedded with shales. ",Late Cenomanian to Turonian/Coniacian. 
Maureen Formation,maureen formation,FORMATION,rogaland group,United Kingdom,"The Maureen Formation consists of sandstones that are slightly to very calcareous and often contain reworked limestones. The sandstones are interbedded with brown and dark grey shales, and are fine to medium grained, locally very coarse.^The type well established by Deegan & Scull (1977) represents a distal and somewhat atypical section. A more representative well from the Maureen Formation sandstones is UK well 16/29-4 (Fig 5.45). ^The formation pinches out distally and is replaced by the light grey marls and shales of the Våle Formation. ",Early Paleocene. 
Meile Member (informal),meile member (informal),FORMATION,heimdal formation,Norway,"The Meile Member consists of clean, well-sorted sandstones, which are very fine to fine grained, friable to hard, and clear to white. ",Paleocene. 
Melke Formation,melke formation,FORMATION,viking group,Norway,"Dominantly claystone, with siltstone and limestone interbeds and stringers of sandstone. The claystone is dark grey to dark brown and slightly calcareous. ",Bajocian to Oxfordian. 
Mime Formation,mime formation,FORMATION,cromer knoll group,Norway,"The formation is dominated by limestones and marls. It often contains impure carbonates that are reworked and mixed with smaller quantities of sand and silt. The formation is sometimes chalky. The matrix is usually very calcareous. Oolites are observed in some wells in the East Shetland Basin. The colour is usually white or light pink, but may vary slightly on account of the sand/silt mixture. ","The formation is time-transgressive, and is dated to Late Valanginian to Albian. It is oldest in the deeper parts along the basin margins and becomes younger up along the flanks. In most of the East Shetland Basin, along the Utsira, Bergen, Sele and Jæren highs, and along the flanks of the Viking Graben, it is usually of Barremian/Hauterivian age (Fig 5.4). "
Molo Formation1),molo formation1),FORMATION,nordland group,United Kingdom,"The lithology varies considerably throughout its distribution area. In most wells and boreholes from proximal parts, the unit consists mainly of red to yellow coloured sand. Some sections also contain well rounded, rust-tinted pebbles. In some wells glauconitic sand and mica-rich sand are recorded. In the Draugen Field (Trøndelag Platform), where the distal part has been investigated, the unit contains glauconitic sand, silt and clay. ",Late Miocene – Early Pliocene. 
Nansen Formation,nansen formation,FORMATION,statfjord group,Denmark,"In the type well the formation consists of medium- to coarse-grained, fairly well-sorted, homogeneous, white sandstones with a calcite-cement and a subordinate kaolinite matrix. Occasional horizons with granules or pebbles are present. Carbonaceous material and mica are rare but glauconite is quite common. Thin shale beds containing marine fossils are present, most commonly in its upper part.^At the top of the formation, from 3112 m to 3135 m in the type well is a more prominent calcareous horizon defined informally as the calcareous sandstone bed. This may grade locally into a sandy limestone, for example in the Brent Field.^The Nansen Formation thins towards the east and passes laterally into calcareous siltstones and shales in the Norwegian sector (Fig 1.17-18). Although these siltstones and shales are lateral equivalents of the Nansen Formation they are placed in the overlaying Dunlin Group on lithological grounds. ",Probably Hettangian to Early Sinemurian. 
Naust Formation,naust formation,FORMATION,nordland group,United Kingdom,"Interbedded claystone, siltstone and sand, occasionally with very coarse clastics in the upper part. ",Late Pliocene. 
Ness Formation,ness formation,FORMATION,brent group,United Kingdom,"The formation consists of an association of coals, shales, siltstones and very fine to medium grained sandstones. The formation is carbonaceous throughout and contains numerous rootlet horizons. Small scale cross-bedding and horizontal bedding are common. Synsedimentary deformation is frequently observed. The shales are silty, fissile and frequently pyritic. The formation occasionally shows some marine influence. Coarsening and fining upward sequences are common features. The varied lithology produces an irregular but distinctive gamma ray and sonic response. ",Bajocian. 
Nise Formation,nise formation,FORMATION,shetland group,Norway,Dominant grey and greyish-green claystones interbedded with carbonate and sandstone stringers. ,Santonian to Campanian. 
Nordmela Formation,nordmela formation,FORMATION,realgrunnen subgroup,Norway,"The formation consists of interbedded siltstones, sandstones, shales and claystones with minor coals. Sandstones become more common towards the top. ","The formation extends from the Sinemurian to the late Pliensbachian in the reference area. Its top may be diachronous, younging eastwards into the Toarcian in the type section. "
Not Formation,not formation,FORMATION,fangst group,Norway,Claystones with micronodular pyrite coarsen upwards into bioturbated fine-grained sandstones which are locally mica-rich and carbonate cemented. ,Aalenian to Bajocian. 
