fldName,fldDescriptionHeading,fldDescriptionText,fldNpdidField,fldDescriptionDateUpdated,DatesyncNPD
BØYLA,Development ,"Bøyla is a field in the central part of the North Sea, 28 kilometres south of the Alvheim field. The water depth is 120 metres. Bøyla was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a subsea installation including two horizontal production wells and one water injection well. The field is tied-back to the Alvheim production, storage and offloading vessel (FPSO). Production started in 2015.",22492497,12.02.2020,17.02.2021
BØYLA,Reservoir ,"Bøyla produces oil from sandstone of late Paleocene to early Eocene age in the Hermod Formation. The reservoir has good quality and lies in a channelised submarine fan system at depth of 2,100 metres. ",22492497,25.04.2019,17.02.2021
BØYLA,Recovery ,The field is produced with pressure support from water injection. Gas lift is also necessary to support flow in the wells. ,22492497,25.04.2019,17.02.2021
BØYLA,Transport ,"The well stream is transported by pipeline to the Alvheim FPSO, where the oil is stabilised and stored before it is exported by tankers. Processed rich gas is transported by pipeline from Alvheim to the Scottish Area Gas Evacuation (SAGE) pipeline on the UK continental shelf.",22492497,16.03.2018,17.02.2021
BØYLA,Status ,Test production from the nearby 24/9-12 S (Frosk) discovery is ongoing. This resulted in delayed production from Bøyla in 2019 and 2020. Production from the field will also be shut-in during production testing on Frosk in 2021.,22492497,17.02.2021,17.02.2021
COD,Recovery ,The field was produced by pressure depletion.,43785,11.04.2017,17.02.2021
COD,Development ,"Cod is a field in the southern part of the Norwegian sector in the North Sea, 75 kilometres northwest of the Ekofisk field. The water depth is 75 metres. Cod was discovered in 1968, and the plan for development and operation (PDO) was approved in 1973. The field was developed with a combined drilling, production and accommodation facility and started production in 1977.",43785,08.02.2020,17.02.2021
COD,Reservoir ,"The Cod field produced gas and condensate from deep-marine turbiditic sandstone of Paleocene age in the Forties Formation. The deposit has a complex structure with several separate reservoirs at a depth of 3,000 metres. ",43785,25.04.2019,17.02.2021
COD,Transport ,The well stream was sent via pipeline to the Ekofisk Complex for export.,43785,16.03.2018,17.02.2021
COD,Status ,"The field was shut down in 1998 and the facility was removed in 2013. Any redevelopment of the field must be viewed in combination with other decommissioned fields in the area. Currently, there are no plans for recovering the remaining resources on Cod.",43785,08.02.2020,17.02.2021
DRAUGEN,Development ,"Draugen is a field in the southern part of the Norwegian Sea. The water depth is 250 metres. Draugen was discovered in 1984, and the plan for development and production (PDO) was approved in 1988. The field has been developed with a concrete fixed facility and integrated topside, and has both platform and subsea wells. Stabilised oil is stored in tanks at the base of the facility. Two pipelines connect the facility to a floating loading-buoy. Production started in 1993.",43758,12.02.2020,17.02.2021
DRAUGEN,Reservoir ,"Draugen produces oil from two formations. The main reservoir is in sandstone of Late Jurassic age in the Rogn Formation. The western part of the field also produces from sandstone of Middle Jurassic age in the Garn Formation. The reservoirs lie at a depth of 1,600 metres. They are relatively homogeneous, with good reservoir quality.",43758,16.03.2018,17.02.2021
DRAUGEN,Recovery ,The field is produced by pressure maintenance from water injection and by aquifer support.,43758,11.04.2017,17.02.2021
DRAUGEN,Transport ,"The oil is offloaded via a floating loading-buoy and exported by tankers. The associated gas was earlier transported via the Åsgard Transport System (ÅTS) to the Kårstø terminal, but is now used for power generation on the platform. ",43758,25.04.2019,17.02.2021
DRAUGEN,Status ,"With declining oil production, sufficient volumes of associated gas will not be available for power generation, and alternative solutions are therefore being evaluated. The gas discovery 6407/9-9 (Hasselmus) is under evaluation for subsea tie-back to the Draugen platform. Identification and maturing of infill targets is ongoing in order to increase the recovery from the field. A lifetime extension for the facility is required to maintain the forecasted production profile.",43758,25.02.2020,17.02.2021
DUVA,Reservoir ,"The reservoir contains oil and gas in turbiditic sandstone of Early Cretaceous age in the Agat Formation. It is a stratigraphic trap at a depth of 2,200 metres. The reservoir quality is good.",34833026,05.09.2019,17.02.2021
DUVA,Development ,"Duva is a field in the northern part of the North Sea, six kilometres northeast of the Gjøa field. The water depth is 350 metres. Duva was discovered in 2016, and the plan for development and operation (PDO) was approved in 2019. Duva will be developed with a 4-slot subsea template with three oil production wells and one gas production well tied-back to the Gjøa platform.",34833026,02.02.2021,17.02.2021
DUVA,Recovery strategy ,The field will be produced by pressure depletion and gas expansion in the gas cap.  ,34833026,05.09.2019,17.02.2021
DUVA,Transport ,"The well stream will be routed to the Gjøa platform for processing and export. The oil will be transported further through the Troll Oil Pipeline II to the Mongstad terminal, and the gas will be exported via the Far North Liquids and Associated Gas System (FLAGS) pipeline to St Fergus in the UK.",34833026,26.02.2020,17.02.2021
DUVA,Status ,"The field is under development, and production is scheduled to start in 2021.",34833026,02.02.2021,17.02.2021
DVALIN,Development ,"Dvalin is a field in the central part of the Norwegian Sea, 15 kilometres northwest of the Heidrun field. It consists of two separate structures that are 3.5 kilometres apart. Dvalin East was proven in 2010 and Dvalin West was proven in 2012. The water depth is 340 and 400 metres, respectively. The plan for development and production (PDO) was approved in 2017. The development concept is a subsea template with four production wells tied-back to the Heidrun platform.",29393934,26.02.2020,17.02.2021
DVALIN,Reservoir ,"Both Dvalin East and Dvalin West contain gas in Middle Jurassic sandstone in the Ile and Garn Formations. The reservoirs lie at a depth of 4,500 metres and have high pressure and high temperature (HPHT). The homogeneous shallow marine Garn sandstone has good reservoir quality, while the more heterogeneous and fine-grained Ile sandstone has less favourable reservoir properties.",29393934,17.12.2020,17.02.2021
DVALIN,Recovery strategy ,The field is produced by pressure depletion.,29393934,17.12.2020,17.02.2021
DVALIN,Transport ,The well stream is transported via pipeline to Heidrun for processing at a dedicated gas processing module. The gas is then transported via Polarled to Nyhamna for further processing before being exported as dry gas via Gassled to the market.,29393934,17.12.2020,17.02.2021
DVALIN,Status ,Production from Dvalin started in November 2020.,29393934,17.12.2020,17.02.2021
EDDA,Development ,"Edda is a field in the southern part of the Norwegian sector in the North Sea, 12 kilometres southwest of the Ekofisk field. The water depth is 70 metres. Edda was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with a manned wellhead and production facility and started production in 1979. ",43541,25.04.2019,17.02.2021
EDDA,Reservoir ,"Edda produced oil from Maastrichtian and lower Paleocene chalk. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of approximately 3,100 metres.",43541,16.03.2018,17.02.2021
EDDA,Recovery ,"The field was produced with pressure depletion. Starting in 1988, gas from the Tommeliten Gamma field was transported to Edda and used for gas lift in the wells.",43541,11.04.2017,17.02.2021
EDDA,Transport ,The well stream was sent via pipeline to the Ekofisk Complex for export.,43541,16.03.2018,17.02.2021
EDDA,Status ,The field was shut down in 1998 and the facility removed in 2012. Any redevelopment of the field must be viewed in combination with other decommissioned fields in the area.,43541,02.02.2021,17.02.2021
EDVARD GRIEG,Development ,"Edvard Grieg is a field in the Utsira High area in the central North Sea, 35 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Edvard Grieg was discovered in 2007, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a fixed installation with a steel jacket and full process facility, and it utilises a jack-up rig for drilling and completion of wells. The Edvard Grieg installation supplies power to the Ivar Aasen field and processes the well stream from Ivar Aasen. The installation is also equipped for possible tie-in of nearby discoveries. Production started in 2015.",21675433,12.02.2020,17.02.2021
EDVARD GRIEG,Reservoir ,"Edvard Grieg produces undersaturated oil from alluvial, aeolian and shallow marine sandstone and conglomerate of Late Triassic to Early Cretaceous age. Reservoir quality varies from moderate to very good in marine and aeolian sandstone, while the quality is poorer in alluvial sandstone and conglomerate. Oil is also proven in the underlying basement. The reservoir is at a depth of 1,900 metres. ",21675433,25.04.2019,17.02.2021
EDVARD GRIEG,Recovery ,The field is produced by pressure support from water injection.,21675433,11.04.2017,17.02.2021
EDVARD GRIEG,Transport ,"The oil is exported by pipeline to the Grane Oil Pipeline, which is connected to the Sture terminal. The gas is exported in a separate pipeline to the Scottish Area Gas Evacuation (SAGE) system in the UK.",21675433,11.04.2017,17.02.2021
EDVARD GRIEG,Status ,The field has been producing better than expected and recoverable volumes have increased significantly since the PDO. All producers and injectors initially planned are now on stream.,21675433,04.02.2021,17.02.2021
EKOFISK,Development ,"Ekofisk is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Ekofisk was discovered in 1969, and the initial plan for development and operation (PDO) was approved in 1972. Test production was initiated in 1971 and ordinary production started in 1972. Production was initially routed to tankships until a concrete storage tank was installed in 1973. Since then, the field has been further developed with many facilities, including facilities for associated fields and export pipelines. Several of the initial facilities have already been removed or are awaiting decommissioning. The initial field development started with three production platforms: Ekofisk A, Ekofisk B and Ekofisk C. Wellhead platform Ekofisk X and process platform Ekofisk J were installed in 1996 and 1998, respectively, as part of the Ekofisk II project. In 2005, wellhead platform Ekofisk M was installed as part of the Ekofisk Growth Project. A plan for water injection at Ekofisk was approved in 1983. Ekofisk K, which is the main injection facility, started water injection in 1987 and is still in operation. There had also been water injection at Ekofisk W from 1989 until 2009, when Ekofisk W was shut down and replaced by a subsea template, Ekofisk VA. A PDO for the development of Ekofisk South was approved in 2011. The project included two new installations in the southern part of the field: production platform Ekofisk Z and a subsea template for water injection, Ekofisk VB. Injection from Ekofisk VB and production from Ekofisk Z started in 2013. The accommodation facilities Ekofisk H and Ekofisk Q were replaced by Ekofisk L in 2014. An amended PDO for an additional water injection template, Ekofisk VC, was approved in 2017.",43506,25.02.2020,17.02.2021
EKOFISK,Reservoir ,"Ekofisk produces oil from naturally fractured chalk of Late Cretaceous age in the Tor Formation and early Paleocene age in the Ekofisk Formation. The reservoir rock has high porosity, but low permeability. The reservoir has an oil column of more than 300 metres and lies at 3,000 metres depth. ",43506,25.04.2019,17.02.2021
EKOFISK,Recovery ,"Ekofisk was originally produced by pressure depletion and had an expected recovery factor of 17 per cent. Since then, comprehensive water injection has contributed to a substantial increase in oil recovery. Large-scale water injection started in 1987, and in subsequent years, the area for water injection has been extended in several phases. Experience has proven that water displaces the oil much more effectively than anticipated, and the expected final recovery factor for Ekofisk is now estimated to be over 50 per cent. In addition to the water injection, compaction of the soft chalk provides extra force to drainage of the field. The reservoir compaction has resulted in about 10 metres subsidence of the seabed, especially in the central part of the field. It is expected that the subsidence will continue, but at a much lower rate.",43506,16.03.2018,17.02.2021
EKOFISK,Transport ,"Oil and gas are routed to export pipelines via the processing facility at Ekofisk J. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43506,16.03.2018,17.02.2021
EKOFISK,Status ,"Production from Ekofisk is maintained at a high level through continuous water injection, drilling of production and injection wells, and well interventions. Key challenges are identifying the remaining oil pockets in a mature, waterflooded reservoir, as well as handling the increasing volumes of produced water. Ekofisk Life of Field Seismic (LoFS) provides data for monitoring of waterflood and dynamic changes in the overburden for use in reservoir management. First phase drilling on Ekofisk Z was completed in 2020. Infill drilling on Ekofisk is expected to continue throughout the lifetime of the field. Water injection is extended in the southern part of the field by the installation of a new subsea template, Ekofisk VC. Successive removal of obsolete[TA1]  facilities included in the Ekofisk I decommissioning plan is ongoing.   ",43506,17.02.2021,17.02.2021
ELDFISK,Development ,"Eldfisk is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres south of the Ekofisk field. The water depth is 70 metres. Eldfisk was discovered in 1970, and the plan for development and operation (PDO) was approved in 1975. The initial development consisted of three facilities: Eldfisk B (a combined drilling, wellhead and process facility), and Eldfisk A and Eldfisk FTP (wellhead and process facilities). Production started in 1979. A PDO for water injection was approved in 1997, and the injection facility Eldfisk E was installed in 1999. This facility also provides some the water to Ekofisk K for injection on the Ekofisk field. A PDO for Eldfisk II was approved in 2011, and included a new integrated facility, Eldfisk S, connected by bridge to Eldfisk E. Production from Eldfisk S started in 2015. This facility replaces several functions of Eldfisk A and Eldfisk FTP. Eldfisk A is converted into a wellhead platform and Eldfisk FTP is used as bridge-support facility. The Embla field, located south of Eldfisk, is tied to Eldfisk S.",43527,12.02.2020,17.02.2021
ELDFISK,Reservoir ,"Eldfisk produces oil from chalk of Late Cretaceous and early Paleocene age in the Hod, Tor and Ekofisk Formations. The reservoir rock has high porosity, but low permeability. Natural fracturing allows the reservoir fluids to flow more easily. The field consists of three structures: Alpha, Bravo and Eldfisk Øst. The reservoirs lie at depths of 2,700-2,900 metres.",43527,26.02.2020,17.02.2021
ELDFISK,Recovery ,"Eldfisk was originally produced by pressure depletion. In 1999, water injection was implemented through horizontal injection wells. Pressure depletion and the water weakening effect have caused reservoir compaction, which in turn has resulted in several metres of seabed subsidence. The Eldfisk II project extends waterflooding on the field.",43527,11.04.2017,17.02.2021
ELDFISK,Transport ,"Oil and gas are sent to the export pipelines via the Ekofisk Centre. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43527,16.03.2018,17.02.2021
ELDFISK,Status ,"The drilling campaign in the Eldfisk II project started in 2014, and drilling of the remaining wells is expected to be completed in 2021. Drilling targets are also being matured in the eastern structure, Eldfisk Øst. A further development of the northern part of the field is being evaluated.",43527,17.02.2021,17.02.2021
EMBLA,Development ,"Embla is a field in the southern part of the Norwegian sector in the North Sea, just south of the Eldfisk field. The water depth is 70 metres. Embla was discovered in 1988, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an unmanned wellhead facility, which is remotely controlled from Eldfisk. Production started in 1993. In 1995, an amended PDO for Embla was approved.",43534,12.02.2020,17.02.2021
EMBLA,Reservoir ,"Embla produces oil and gas from segmented sandstone and conglomerate of Devonian and Permian age. The reservoir lies at a depth of more than 4,000 metres and has high pressure and high temperature (HPHT). It has a complex, highly faulted structure.",43534,16.03.2018,17.02.2021
EMBLA,Recovery ,The field is produced by pressure depletion.,43534,16.03.2018,17.02.2021
EMBLA,Transport ,"Oil and gas are transported by pipeline to the Eldfisk S facility for processing, and further to the Ekofisk Centre for export. Gas from the Ekofisk area is transported via the Norpipe gas pipeline to Emden in Germany, while the oil is sent via the Norpipe oil pipeline to Teesside in the UK.",43534,16.03.2018,17.02.2021
EMBLA,Status ,"As part of the Eldfisk II development project, Embla was tied to the Eldfisk S facility, extending the lifetime for Embla. Currently, there are four active producers. Because of the complexity of the reservoir, there are no plans other than optimising the existing production wells.",43534,17.02.2021,17.02.2021
ENOCH,Development ,"Enoch is a field in the central part of the North Sea on the border to the British sector, ten kilometres northwest of the Gina Krog field. The Norwegian share of the field is 20 per cent. Enoch was proven in 1985, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with a subsea facility on the UK continental shelf and is tied to the British Brae field. Production started in 2007.",3437659,16.03.2018,17.02.2021
ENOCH,Recovery ,The field is produced by pressure depletion.,3437659,11.04.2017,17.02.2021
ENOCH,Transport ,The well stream from Enoch is transported to the Brae A facility for processing and further transport by pipeline to Cruden Bay in the UK. The gas is sold to Brae.,3437659,16.03.2018,17.02.2021
ENOCH,Reservoir ,"Enoch produces oil from Forties sandstone of Paleocene age. The reservoir lies at a depth of 2,100 metres and has variable quality.",3437659,16.03.2018,17.02.2021
ENOCH,Status ,The field is in the late tail phase. Cease of economic production is currently estimated for the end of 2022.,3437659,25.02.2020,17.02.2021
FENJA,Development ,"Fenja is a field in the Norwegian Sea, 35 kilometres southwest of the Njord field. The water depth is 325 metres. The field also includes the discovery 6406/12-3 A (Bue). Fenja was discovered in 2014, and the plan for development and operation (PDO) was approved in 2018. The planned development consists of two subsea templates with a total of six wells tied-back to the Njord A facility.",31164879,18.02.2020,17.02.2021
